"polygon_num","field","poly_veg_cat","cover_type","perc_cover","poly_type"
41,"OC_BOGR","BOGR","SALTGRASS",0,"polygon"
41,"OC_BOGR","BOGR","C3_Other",0.8,"polygon"
41,"OC_BOGR","BOGR","C4_Other",0,"polygon"
41,"OC_BOGR","BOGR","DUNG",0.7,"polygon"
41,"OC_BOGR","BOGR","FORB",3.7,"polygon"
41,"OC_BOGR","BOGR","SD",10,"polygon"
41,"OC_BOGR","BOGR","SUBSHRUB",0,"polygon"
42,"OC_BOGR","BOGR","BARE",10.3,"polygon"
42,"OC_BOGR","BOGR","LITT",20.3,"polygon"
42,"OC_BOGR","BOGR","BOBU",32.7,"polygon"
42,"OC_BOGR","BOGR","OPPO",22.3,"polygon"
42,"OC_BOGR","BOGR","PASM",0,"polygon"
42,"OC_BOGR","BOGR","HECO",0,"polygon"
42,"OC_BOGR","BOGR","SALTGRASS",0,"polygon"
42,"OC_BOGR","BOGR","C3_Other",0,"polygon"
42,"OC_BOGR","BOGR","C4_Other",0,"polygon"
42,"OC_BOGR","BOGR","DUNG",0.2,"polygon"
42,"OC_BOGR","BOGR","FORB",0,"polygon"
42,"OC_BOGR","BOGR","SD",14,"polygon"
42,"OC_BOGR","BOGR","SUBSHRUB",0,"polygon"
83,"OC_BOGR","BOGR","BARE",29.7,"polygon"
83,"OC_BOGR","BOGR","LITT",17.7,"polygon"
83,"OC_BOGR","BOGR","BOBU",48.7,"polygon"
83,"OC_BOGR","BOGR","OPPO",0,"polygon"
83,"OC_BOGR","BOGR","PASM",0,"polygon"
83,"OC_BOGR","BOGR","HECO",0,"polygon"
83,"OC_BOGR","BOGR","SALTGRASS",0,"polygon"
83,"OC_BOGR","BOGR","C3_Other",1.1,"polygon"
83,"OC_BOGR","BOGR","C4_Other",1,"polygon"
83,"OC_BOGR","BOGR","DUNG",0.3,"polygon"
83,"OC_BOGR","BOGR","FORB",0.5,"polygon"
83,"OC_BOGR","BOGR","SD",2.2,"polygon"
83,"OC_BOGR","BOGR","SUBSHRUB",0,"polygon"
40,"20SE_HECO","HECO","BARE",41.7,"polygon"
40,"20SE_HECO","HECO","LITT",18.7,"polygon"
40,"20SE_HECO","HECO","BOBU",0.7,"polygon"
40,"20SE_HECO","HECO","OPPO",0,"polygon"
40,"20SE_HECO","HECO","PASM",0,"polygon"
40,"20SE_HECO","HECO","HECO",24.3,"polygon"
40,"20SE_HECO","HECO","SALTGRASS",0.3,"polygon"
40,"20SE_HECO","HECO","C3_Other",0.3,"polygon"
40,"20SE_HECO","HECO","C4_Other",3.5,"polygon"
40,"20SE_HECO","HECO","DUNG",0.3,"polygon"
40,"20SE_HECO","HECO","FORB",1.2,"polygon"
40,"20SE_HECO","HECO","SD",9.3,"polygon"
40,"20SE_HECO","HECO","SUBSHRUB",0,"polygon"
32,"23W_HECO","HECO","BARE",13,"polygon"
32,"23W_HECO","HECO","LITT",50,"polygon"
32,"23W_HECO","HECO","BOBU",4,"polygon"
32,"23W_HECO","HECO","OPPO",1,"polygon"
32,"23W_HECO","HECO","PASM",0.5,"polygon"
32,"23W_HECO","HECO","HECO",13,"polygon"
32,"23W_HECO","HECO","SALTGRASS",0,"polygon"
32,"23W_HECO","HECO","C3_Other",1,"polygon"
32,"23W_HECO","HECO","C4_Other",2,"polygon"
32,"23W_HECO","HECO","DUNG",0.5,"polygon"
32,"23W_HECO","HECO","FORB",13,"polygon"
32,"23W_HECO","HECO","SD",0,"polygon"
32,"23W_HECO","HECO","SUBSHRUB",3,"polygon"
33,"23W_HECO","HECO","BARE",32,"polygon"
33,"23W_HECO","HECO","LITT",115,"polygon"
33,"23W_HECO","HECO","BOBU",7,"polygon"
33,"23W_HECO","HECO","OPPO",1,"polygon"
33,"23W_HECO","HECO","PASM",10,"polygon"
33,"23W_HECO","HECO","HECO",11,"polygon"
33,"23W_HECO","HECO","SALTGRASS",0,"polygon"
33,"23W_HECO","HECO","C3_Other",1,"polygon"
33,"23W_HECO","HECO","C4_Other",0,"polygon"
33,"23W_HECO","HECO","DUNG",0,"polygon"
33,"23W_HECO","HECO","FORB",4.5,"polygon"
33,"23W_HECO","HECO","SD",18.5,"polygon"
33,"23W_HECO","HECO","SUBSHRUB",0,"polygon"
1,"7NW_HECO","HECO","BARE",22.3,"polygon"
1,"7NW_HECO","HECO","LITT",43.3,"polygon"
1,"7NW_HECO","HECO","BOBU",0.3,"polygon"
1,"7NW_HECO","HECO","OPPO",11.3,"polygon"
1,"7NW_HECO","HECO","PASM",0,"polygon"
1,"7NW_HECO","HECO","HECO",11.7,"polygon"
1,"7NW_HECO","HECO","SALTGRASS",0,"polygon"
1,"7NW_HECO","HECO","C3_Other",0,"polygon"
1,"7NW_HECO","HECO","C4_Other",0,"polygon"
1,"7NW_HECO","HECO","DUNG",2.1,"polygon"
1,"7NW_HECO","HECO","FORB",7.2,"polygon"
1,"7NW_HECO","HECO","SD",2.7,"polygon"
1,"7NW_HECO","HECO","SUBSHRUB",0,"polygon"
84,"OC_HECO","HECO","BARE",12.3,"polygon"
84,"OC_HECO","HECO","LITT",41.3,"polygon"
84,"OC_HECO","HECO","BOBU",12.3,"polygon"
84,"OC_HECO","HECO","OPPO",3.4,"polygon"
84,"OC_HECO","HECO","PASM",0,"polygon"
84,"OC_HECO","HECO","HECO",23.3,"polygon"
84,"OC_HECO","HECO","SALTGRASS",0,"polygon"
84,"OC_HECO","HECO","C3_Other",0.1,"polygon"
84,"OC_HECO","HECO","C4_Other",2,"polygon"
84,"OC_HECO","HECO","DUNG",0,"polygon"
84,"OC_HECO","HECO","FORB",1.6,"polygon"
84,"OC_HECO","HECO","SD",4,"polygon"
84,"OC_HECO","HECO","SUBSHRUB",0,"polygon"
38,"SALTTREE_HECO","HECO","BARE",34.3,"polygon"
38,"SALTTREE_HECO","HECO","LITT",38.7,"polygon"
38,"SALTTREE_HECO","HECO","BOBU",2.7,"polygon"
38,"SALTTREE_HECO","HECO","OPPO",1.7,"polygon"
38,"SALTTREE_HECO","HECO","PASM",0,"polygon"
38,"SALTTREE_HECO","HECO","HECO",11.7,"polygon"
38,"SALTTREE_HECO","HECO","SALTGRASS",0,"polygon"
38,"SALTTREE_HECO","HECO","C3_Other",0.3,"polygon"
38,"SALTTREE_HECO","HECO","C4_Other",0.3,"polygon"
38,"SALTTREE_HECO","HECO","DUNG",0,"polygon"
38,"SALTTREE_HECO","HECO","FORB",2.7,"polygon"
38,"SALTTREE_HECO","HECO","SD",10,"polygon"
38,"SALTTREE_HECO","HECO","SUBSHRUB",0,"polygon"
86,"ST_HECO","HECO","BARE",52,"polygon"
86,"ST_HECO","HECO","LITT",90,"polygon"
86,"ST_HECO","HECO","BOBU",5,"polygon"
86,"ST_HECO","HECO","OPPO",0,"polygon"
86,"ST_HECO","HECO","PASM",0,"polygon"
86,"ST_HECO","HECO","HECO",22,"polygon"
86,"ST_HECO","HECO","SALTGRASS",0,"polygon"
86,"ST_HECO","HECO","C3_Other",0,"polygon"
86,"ST_HECO","HECO","C4_Other",18,"polygon"
86,"ST_HECO","HECO","DUNG",0,"polygon"
86,"ST_HECO","HECO","FORB",9,"polygon"
86,"ST_HECO","HECO","SD",1,"polygon"
86,"ST_HECO","HECO","SUBSHRUB",3,"polygon"
87,"ST_HECO","HECO","BARE",31,"polygon"
87,"ST_HECO","HECO","LITT",51,"polygon"
87,"ST_HECO","HECO","BOBU",0,"polygon"
87,"ST_HECO","HECO","OPPO",0,"polygon"
87,"ST_HECO","HECO","PASM",0,"polygon"
87,"ST_HECO","HECO","HECO",12,"polygon"
87,"ST_HECO","HECO","SALTGRASS",0,"polygon"
87,"ST_HECO","HECO","C3_Other",0,"polygon"
87,"ST_HECO","HECO","C4_Other",3,"polygon"
87,"ST_HECO","HECO","DUNG",0,"polygon"
87,"ST_HECO","HECO","FORB",2,"polygon"
87,"ST_HECO","HECO","SD",0.3,"polygon"
87,"ST_HECO","HECO","SUBSHRUB",0,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","BARE",10,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","LITT",45,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","BOBU",3,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","OPPO",32,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","PASM",4,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","HECO",0,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","SALTGRASS",0,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","C3_Other",0.5,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","C4_Other",0,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","DUNG",0.3,"polygon"
23,"13W_OPPO_HEAVY","OPPO_HVY","FORB",1.3,"polygon"
