"","specmonth","which_site","year","minbouts","DP","brdf","easting","northing","domain","crs","rgb_DP","h5_filepath","rgb_filepath","hsi_saved_path","spbands_saved_path"
"11",6,"CPER",2024,1,"DP3.30006.002","yes",524000,4519000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_524000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_524000_4519000_image.tif","/Users/khuelsma/CPER_2024_524000_4519000_HSI.tif","/Users/khuelsma/CPER_2024_524000_4519000_SpBands.tif"
"12",6,"CPER",2024,1,"DP3.30006.002","yes",525000,4517000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4517000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4517000_image.tif","/Users/khuelsma/CPER_2024_525000_4517000_HSI.tif","/Users/khuelsma/CPER_2024_525000_4517000_SpBands.tif"
"13",6,"CPER",2024,1,"DP3.30006.002","yes",521000,4522000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_521000_4522000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_521000_4522000_image.tif","/Users/khuelsma/CPER_2024_521000_4522000_HSI.tif","/Users/khuelsma/CPER_2024_521000_4522000_SpBands.tif"
"14",6,"CPER",2024,1,"DP3.30006.002","yes",520000,4517000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_520000_4517000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_520000_4517000_image.tif","/Users/khuelsma/CPER_2024_520000_4517000_HSI.tif","/Users/khuelsma/CPER_2024_520000_4517000_SpBands.tif"
"15",6,"CPER",2024,1,"DP3.30006.002","yes",525000,4519000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4519000_image.tif","/Users/khuelsma/CPER_2024_525000_4519000_HSI.tif","/Users/khuelsma/CPER_2024_525000_4519000_SpBands.tif"
"16",6,"CPER",2024,1,"DP3.30006.002","yes",518000,4519000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_518000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_518000_4519000_image.tif","/Users/khuelsma/CPER_2024_518000_4519000_HSI.tif","/Users/khuelsma/CPER_2024_518000_4519000_SpBands.tif"
"17",6,"CPER",2024,1,"DP3.30006.002","yes",524000,4515000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_524000_4515000_bidirectional_reflectance.h5",NA,"/Users/khuelsma/CPER_2024_524000_4515000_HSI.tif","/Users/khuelsma/CPER_2024_524000_4515000_SpBands.tif"
"18",6,"CPER",2024,1,"DP3.30006.002","yes",521000,4521000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_521000_4521000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_521000_4521000_image.tif","/Users/khuelsma/CPER_2024_521000_4521000_HSI.tif","/Users/khuelsma/CPER_2024_521000_4521000_SpBands.tif"
"19",6,"CPER",2024,1,"DP3.30006.002","yes",525000,4521000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_525000_4521000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_525000_4521000_image.tif","/Users/khuelsma/CPER_2024_525000_4521000_HSI.tif","/Users/khuelsma/CPER_2024_525000_4521000_SpBands.tif"
"20",6,"CPER",2024,1,"DP3.30006.002","yes",524000,4520000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_524000_4520000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_524000_4520000_image.tif","/Users/khuelsma/CPER_2024_524000_4520000_HSI.tif","/Users/khuelsma/CPER_2024_524000_4520000_SpBands.tif"
"21",6,"CPER",2024,1,"DP3.30006.002","yes",526000,4518000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_526000_4518000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_526000_4518000_image.tif","/Users/khuelsma/CPER_2024_526000_4518000_HSI.tif","/Users/khuelsma/CPER_2024_526000_4518000_SpBands.tif"
"22",6,"CPER",2024,1,"DP3.30006.002","yes",520000,4515000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_520000_4515000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_520000_4515000_image.tif","/Users/khuelsma/CPER_2024_520000_4515000_HSI.tif","/Users/khuelsma/CPER_2024_520000_4515000_SpBands.tif"
"23",6,"CPER",2024,1,"DP3.30006.002","yes",519000,4519000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_519000_4519000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_519000_4519000_image.tif","/Users/khuelsma/CPER_2024_519000_4519000_HSI.tif","/Users/khuelsma/CPER_2024_519000_4519000_SpBands.tif"
"24",6,"CPER",2024,1,"DP3.30006.002","yes",526000,4516000,"D10",32613,"DP3.30010.001","/Users/khuelsma/DP3.30006.002/neon-aop-provisional-products/2024/FullSite/D10/2024_CPER_10/L3/Spectrometer/Reflectance/NEON_D10_CPER_DP3_526000_4516000_bidirectional_reflectance.h5","/Users/khuelsma/DP3.30010.001/neon-aop-products/2024/FullSite/D10/2024_CPER_10/L3/Camera/Mosaic/2024_CPER_10_526000_4516000_image.tif","/Users/khuelsma/CPER_2024_526000_4516000_HSI.tif","/Users/khuelsma/CPER_2024_526000_4516000_SpBands.tif"
